"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
6,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery/dv-lottery-eligibility,367,"Find out if you are eligible for the Diversity Visa (DV) Lottery and how to register",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery/dv-lottery-eligibility,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Apply for an immigrant visa","Diversity Immigrant Visa (Green Card Lottery)","Eligibility for the Diversity Visa (DV) Lottery","USAGov English",not_homepage,https://www.usa.gov/es/participar-loteria-visas
4,"Content Page","Standard Page",basic_page,/voting-and-elections/midterm-state-and-local-elections/state-local-elections,261,"State and local elections",https://www.usa.gov/voting-and-elections/midterm-state-and-local-elections/state-local-elections,Home,"Voting and elections","Congressional, state, and local elections","State and local elections","State and local elections","State and local elections","USAGov English",not_homepage,https://www.usa.gov/es/elecciones-estatales-locales
4,"Content Page","Standard Page",basic_page,/benefits/social-security/social-security-abroad,108,"Getting Social Security benefits if you are living outside the U.S.",https://www.usa.gov/benefits/social-security/social-security-abroad,Home,"Government benefits","Social Security","Social Security benefits abroad","Social Security benefits abroad","Social Security benefits abroad","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-seguro-social-extrajero
3,"Content Page","Standard Page",basic_page,/benefits/government-checks-payments,110,"Government checks and payments",https://www.usa.gov/benefits/government-checks-payments,Home,"Government benefits","Government checks and payments","Government checks and payments","Government checks and payments","Government checks and payments","USAGov English",not_homepage,https://www.usa.gov/es/cheques-pagos-del-gobierno
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/laws-and-regulations/government-copyright,429,"Learn about copyright and federal government materials",https://www.usa.gov/laws-and-legal-issues/laws-and-regulations/government-copyright,Home,"Laws and legal issues","Federal laws and regulations","Copyrighted government works","Copyrighted government works","Copyrighted government works","USAGov English",not_homepage,None
3,"Content Page","Standard Page",basic_page,/small-business/start-business,434,"How to start and fund your own business",https://www.usa.gov/small-business/start-business,Home,"Small business","Start and fund your own business","Start and fund your own business","Start and fund your own business","Start and fund your own business","USAGov English",not_homepage,https://www.usa.gov/es/crear-pequena-empresa
3,"Content Page","Standard Page",basic_page,/small-business/import-license-permit,433,"How to get an import license or permit",https://www.usa.gov/small-business/import-license-permit,Home,"Small business","Get an import license","Get an import license","Get an import license","Get an import license","USAGov English",not_homepage,https://www.usa.gov/es/licencia-permiso-importancion
3,"Content Page","Standard Page",basic_page,/small-business/export-license-permit,432,"How to get an export license or permit",https://www.usa.gov/small-business/export-license-permit,Home,"Small business","Get an export license","Get an export license","Get an export license","Get an export license","USAGov English",not_homepage,https://www.usa.gov/es/licencia-permiso-exportacion
3,"Content Page","Standard Page",basic_page,/military-and-veterans/military-requirements,317,"Requirements to join the U.S. military",https://www.usa.gov/military-and-veterans/military-requirements,Home,"Military and veterans","Requirements to enlist","Requirements to enlist","Requirements to enlist","Requirements to enlist","USAGov English",not_homepage,https://www.usa.gov/es/requisitos-entrar-fuerzas-armadas
4,"Content Page","Standard Page",basic_page,/military-and-veterans/selective-service/register-selective-service,331,"Register for Selective Service (the draft)",https://www.usa.gov/military-and-veterans/selective-service/register-selective-service,Home,"Military and veterans","Selective Service","Register for Selective Service (the draft)","Register for Selective Service (the draft)","Register for Selective Service (the draft)","USAGov English",not_homepage,https://www.usa.gov/es/registro-servicio-selectivo
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/request-documents/replace-vital-documents,15,"How to replace lost or stolen ID cards",https://www.usa.gov/laws-and-legal-issues/request-documents/replace-vital-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards","USAGov English",not_homepage,https://www.usa.gov/es/reemplazo-documentos-personales
5,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/sponsor-family-member,369,"Family-based immigrant visas and sponsoring a relative",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/sponsor-family-member,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Apply for an immigrant visa","Family-based immigrant visas","Family-based immigrant visas","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-residencia-permanente-para-familiar
4,"Content Page","Standard Page",basic_page,/benefits/social-security/what-is-social-security,104,"Social Security and how it works",https://www.usa.gov/benefits/social-security/what-is-social-security,Home,"Government benefits","Social Security","How Social Security works","How Social Security works","How Social Security works","USAGov English",not_homepage,https://www.usa.gov/es/que-es-el-seguro-social
4,"Content Page","Standard Page",basic_page,/benefits/social-security/social-security-disability,107,"SSDI and SSI benefits for people with disabilities",https://www.usa.gov/benefits/social-security/social-security-disability,Home,"Government benefits","Social Security","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities","USAGov English",not_homepage,https://www.usa.gov/es/seguro-social-incapacidad-discapacidad
3,"Content Page","Standard Page",basic_page,/education/child-care-head-start,1964,"Get help with child care costs and learn about Head Start",https://www.usa.gov/education/child-care-head-start,Home,Education,"Find help paying for child care and free early childhood services","Find help paying for child care and free early childhood services","Find help paying for child care and free early childhood services","Find help paying for child care and free early childhood services","USAGov English",not_homepage,https://www.usa.gov/es/guarderia-head-start
3,"Content Page","Standard Page",basic_page,/benefits/welfare-benefits,84,"Welfare benefits or Temporary Assistance for Needy Families (TANF)",https://www.usa.gov/benefits/welfare-benefits,Home,"Government benefits","Welfare (TANF)","Welfare (TANF)","Welfare (TANF)","Welfare (TANF)","USAGov English",not_homepage,https://www.usa.gov/es/tanf-asistencia-temporal
3,"Content Page","Standard Page",basic_page,/jobs-labor-laws-unemployment/retirement-planning-tools,277,"Retirement planning tools",https://www.usa.gov/jobs-labor-laws-unemployment/retirement-planning-tools,Home,"Jobs, labor laws and unemployment","Retirement planning tools","Retirement planning tools","Retirement planning tools","Retirement planning tools","USAGov English",not_homepage,https://www.usa.gov/es/herramientas-planear-jubilacion
4,"Content Page","Standard Page",basic_page,/laws-and-legal-issues/family-legal-issues/report-a-death,31,"Agencies to notify when someone dies",https://www.usa.gov/laws-and-legal-issues/family-legal-issues/report-a-death,Home,"Laws and legal issues","Family legal issues","Agencies to notify when someone dies","Agencies to notify when someone dies","Agencies to notify when someone dies","USAGov English",not_homepage,https://www.usa.gov/es/reportar-una-muerte
4,"Content Page","Standard Page",basic_page,/benefits/government-death-benefits/survivor-benefits,587,"How to get survivor benefits from the government",https://www.usa.gov/benefits/government-death-benefits/survivor-benefits,Home,"Government benefits","Government death benefits","Survivor benefits","Survivor benefits","Survivor benefits","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-gobierno-por-fallecimiento
3,"Navigation Page","Navigation Page",basic_page,/complaints/complaints-against-government,1699,"Complaints against the government",https://www.usa.gov/complaints/complaints-against-government,Home,Complaints,"Complaints against the government","Complaints against the government","Complaints against the government","Complaints against the government","USAGov English",not_homepage,https://www.usa.gov/es/quejas-agencias-prisiones
4,"Content Page","Standard Page",basic_page,/complaints/complaints-against-government/postal-service-complaints,1700,"File a U.S. Postal Service complaint",https://www.usa.gov/complaints/complaints-against-government/postal-service-complaints,Home,Complaints,"Complaints against the government","File a U.S. Postal Service complaint","File a U.S. Postal Service complaint","File a U.S. Postal Service complaint","USAGov English",not_homepage,None
